str,en_US,en_HK,en_SG,en_TH,zh_HK,zh_SG,th_TH,id_HK,id_SG
passcodeWillExpireIn,Code is valid for,,,,注意: 一次性增值密碼,注意: 一次性增值密码,รหัสนี้ใช้ได้สำหรับ,Kode berlaku untuk,
password,password,,,,密碼,密码,รหัสผ่าน,kata sandi,
passwordConfirmation,Password confirmation,,,,確認密碼,确认密码,ยืนยันรหัสผ่าน,konfirmasi kata kunci,
passwordsDoNotMatch,Passwords do not match,,,,密碼不匹配。,密码不匹配。,รหัสผ่านไม่ตรงกัน,Sandi tidak cocok,
passwordShouldBeLonger,Password should be > 6 characters.,,,,密碼需要超過 6 個字符。,密码需要超过 6 个字符。,รหัสผ่านควรมากกว่า 6 ตัวอักษร,Kata sandi harus > 6 karakter.,
personalise_message,Personalise Message:,,,,個人信息/留言：,个人信息/留言：,ปรับแต่งข้อความ:,Personalisasi Pesan:,
phone,phone number,,,,手機號碼,手机号码,หมายเลขโทรศัพท์,nomor telepon,
phone_number,Phone number,,,,手機號碼,手机号码,หมายเลขโทรศัพท์,Nomor telepon,
phone_number_fill,Phone Number:,,,,電話號碼：,电话号码：,หมายเลขโทรศัพท์:,Nomor telepon:,
phoneorregister,Please sign-in to continue,,,,以手機號碼登入 或 註冊新會員,以手机号码登入 或 注册新会员,โปรดลงชื่อเข้าใช้เพื่อดำเนินการต่อ,Tolong masuk untuk melanjutkan,
pinfoChangeMessage1,Please ensure you can receive OTP on new number entered.,,,,請確保您輸入的新號碼是正確的並可以收到一次性驗證碼。,请确保您输入的新号码是正确的并可以收到一次性验证码。,โปรดตรวจสอบให้แน่ใจว่าคุณสามารถรับ OTP จากหมายเลขใหม่ที่ระบุ,Pastikan Anda dapat menerima OTP pada nomor baru yang dimasukkan.,
pinfoChangeMessage2,We recommend that login again using the new number once updated.,,,,我們建議使用更新後的新號碼再次登錄。,我们建议使用更新后的新号码再次登录。,เราแนะนำให้เข้าสู่ระบบอีกครั้งโดยใช้หมายเลขใหม่เมื่ออัปเดตแล้ว,Sebaiknya login kembali menggunakan nomor baru setelah diperbarui.,
pleaseEnterAtKiosk,Use:,,,,請於服務站輸入:,请于服务站输入:,ใช้:,Menggunakan:,
pleaseEnterPassword,Please enter a password,,,,請登記密碼,请登记密码,กรุณากรอกรหัสผ่าน,Silakan masukkan kata sandi,
pleaseEnterStreetAddressHere,Please enter street name,,,,請輸入街/路名,请输入街/路名,โปรดป้อนชื่อถนน,Silakan masukkan nama jalan,
pleaseFillInCode,** Please fill in OTP code **,,,,**  請輸入一次性密碼 **,**  请输入一次性密码 **,** กรุณากรอกรหัส OTP **,**Silakan isi kode OTP**,
pleaseGenerateOTP,Generate OTP Code,,,,創建增值密碼,创建增值密码,สร้างรหัส OTP,Hasilkan Kode OTP,
pleaseObserveExpiration,before the expiry dates,,,,請留意有效期,请留意有效期,ก่อนวันหมดอายุ,sebelum tanggal kadaluwarsanya,
pleaseRegisterYourDetails,Please register your details below:,,,,請登記重要資料,请登记重要资料,กรุณาลงทะเบียน โดยกรอกรายละเอียดด้านล่าง:,Silakan daftarkan detail Anda di bawah ini:,
pleaseSignIn,Please sign in,,,,請登入,请登入,กรุณาเข้าสู่ระบบ,Silakan masuk,
pleaseWait,Please wait...,,,,請稍等。。。,请稍等。 。 。,กรุณารอสักครู่...,Harap tunggu...,
points,pts,,,,積分,积分,แต้ม,poin,
pointValue,Point Value,,,,龍幣總值,龙币总值,จำนวนคะแนน,Nilai Poin,
prefix_months,{} Months,,,,{} 個月,{} 个月,{} เดือน,{} Bulan,
present_qr_code,Present QR Code at the kiosk,,,,在服務站出示二維碼,在服务站出示二维码,แสดง QR Code ที่ตู้,Tunjukkan Kode QR di kios,
presentAtKiosk,Present QR at kiosk,,,,請於智能服務站出示二維碼,请于智能服务站出示二维码,นำเสนอ QR ที่ตู้ฝากเหรียญ,Tunjukkan QR di kios,
pressAndHold,(press and hold),,,,(按住不動),(按住不动),(กดค้างไว้),(tekan terus),
privacy_coin_dr_1,Information we collect,,,,我們收集的信息,我们收集的信息,ข้อมูลที่เรารวบรวม,Informasi yang kami kumpulkan,
privacy_coin_dr_1_des,"<u>Kiosk Service</u><br>We collect information about you in various ways, including:<br><ul><li>Transaction Information: your output choices, the amount you entered, the time you used the kiosk</li><li>Log Information: We observe the timing related to each function/scene of your user interface</li><li>CCTV Security Footage</li><li>Mobile Numbers (Donation Tax Receipt / E-Coupons)</li><li>Email Addresses (Donation Tax Receipt / E-Coupon)</li><li>Bank Account Number</li><li>Octopus Card Number</li></ul><br><u>Android / iOS Mobile App</u><br>We collect in-app information about you to provide basic app functionalities such as user account management and location-based services. The collected data includes:<br><ul><li>Name</li><li>Email</li><li>Phone number (opt-in);</li><li>Last known location (for map services)</li></ul>",,,,<u>服務站服務</u><br>我們通過多種方式收集有關您的信息，包括：<br><ul><li>交易信息：您的輸出選擇、您輸入的金額、您使用服務站的時間</li><li>日誌信息：我們觀察與您的用戶界面的每個功能/場景相關的時間</li><li>閉路電視安全錄像</li><li>手機號碼（捐贈稅收據/電子-優惠券）</li><li>電郵地址（捐款稅收據/電子優惠券）</li><li>銀行帳號</li><li>八達通卡號碼</li ></ul><br ><u>Android / iOS 移動應用</u><br>我們收集有關您的應用內信息，以提供基本的應用功能，例如用戶帳戶管理和基於位置的服務。 收集的數據包括：<br><ul><li>姓名</li><li>電子郵件</li><li>電話號碼（選擇加入）；</li><li>最後已知位置（例如地圖服務）</li></ul>,<u>服務站服务</u><br>我们通过多种方式收集有关您的信息，包括：<br><ul><li>交易信息：您的输出选择、您输入的金额、您使用服務站的时间</li><li>日志信息：我们观察与您的用户界面的每个功能/场景相关的时间</li><li>闭路电视安全录像</li><li>手机号码（捐赠税收据/电子-优惠券）</li><li>电邮地址（捐款税收据/电子优惠券）</li><li>银行帐号</li><li>八达通卡号码</li > </ul><br ><u>Android / iOS 移动应用</u><br>我们收集有关您的应用内信息，以提供基本的应用功能，例如用户帐户管理和基于位置的服务。收集的数据包括：<br><ul><li>姓名</li><li>电子邮件</li><li>电话号码（选择加入）；</li><li>最后已知位置（例如地图服务）</li></ul>,<u>บริการตู้ฝากเหรียญ</u><br>เรารวบรวมข้อมูลเกี่ยวกับคุณในรูปแบบต่างๆ รวมถึง:<br><ul><li>ข้อมูลธุรกรรม: ตัวเลือกผลลัพธ์ของคุณ จำนวนเงินที่คุณป้อน เวลาที่คุณใช้คีออสก์ </li><li>ข้อมูลบันทึก: เราสังเกตเวลาที่เกี่ยวข้องกับแต่ละฟังก์ชัน/ฉากของอินเทอร์เฟซผู้ใช้ของคุณ</li><li>วิดีโอความปลอดภัยจากกล้องวงจรปิด</li><li>หมายเลขโทรศัพท์มือถือ (ใบเสร็จรับเงินบริจาค / E- คูปอง)</li><li>ที่อยู่อีเมล (ใบเสร็จรับเงินบริจาค / คูปองอิเล็กทรอนิกส์)</li><li>หมายเลขบัญชีธนาคาร</li><li>หมายเลขบัตร Octopus</li></ul><br <u>แอปมือถือ Android / iOS</u><br>เรารวบรวมข้อมูลในแอปเกี่ยวกับคุณเพื่อให้มีฟังก์ชันพื้นฐานของแอป เช่น การจัดการบัญชีผู้ใช้และบริการตามตำแหน่ง ข้อมูลที่รวบรวมประกอบด้วย:<br><ul><li>ชื่อ</li><li>อีเมล</li><li>หมายเลขโทรศัพท์ (เลือกใช้) </li><li>ตำแหน่งล่าสุดที่ทราบ (สำหรับ บริการแผนที่)</li></ul>,"<u>Layanan Kios</u><br>Kami mengumpulkan informasi tentang Anda dengan berbagai cara, termasuk:<br><ul><li>Informasi Transaksi: pilihan keluaran Anda, jumlah yang Anda masukkan, waktu Anda menggunakan kios </li><li>Informasi Log: Kami mengamati waktu yang terkait dengan setiap fungsi/adegan antarmuka pengguna Anda</li><li>Rekaman Keamanan CCTV</li><li>Nomor Ponsel (Tanda Terima Pajak Donasi / E- Kupon)</li><li>Alamat Email (Tanda Terima Pajak Sumbangan / Kupon Elektronik)</li><li>Nomor Rekening Bank</li><li>Nomor Kartu Octopus</li></ul><br ><u>Aplikasi Seluler Android / iOS</u><br>Kami mengumpulkan informasi dalam aplikasi tentang Anda untuk menyediakan fungsi dasar aplikasi seperti pengelolaan akun pengguna dan layanan berbasis lokasi. Data yang dikumpulkan meliputi:<br><ul><li>Nama</li><li>Email</li><li>Nomor telepon (ikut serta);</li><li>Lokasi terakhir yang diketahui (untuk layanan peta)</li></ul>",
privacy_coin_dr_2,How we use the information we collect,,,,我們如何使用我們收集的信息,我们如何使用我们收集的信息,เราใช้ข้อมูลที่เรารวบรวมอย่างไร,Bagaimana kami menggunakan informasi yang kami kumpulkan,
privacy_coin_dr_2_des,"<u>Kiosk Service</u><br>We may use information about you to:<br><ul><li>Electronically deliver digital receipts</li><li>Deliver gift card codes electronically</li><li>Follow up with customers/vendors for faulty transactions</li><li>Troubleshoot erroneous transactions internally</li><li>Reconcile transaction amounts with vendors/partners</li><li>Provide the necessary information to facilitate the transfer of exchanged coins minus fees (ie. Bank Account Number)</li><li>Improve our customer experience using our kiosk</li><li>For suspected crime, we may use recorded CCTV to aid police investigations</li></ul><br>What we DO NOT do with your information:<ul><li>WE DO NOT Disclose this information to third parties</li><li>WE DO NOT Track your previous transactions with Coin Dragon</li><li>WE DO NOT Use your contact information for marketing purposes</li></ul><br><u>Android / iOS App</u><br>We may use information about you to:<ul><li>Personalize in-app functionalities</li><li>Contact users regarding in-app issues / updates.</li><li>Fraud prevention / security considerations</li></ul><br>What we DO NOT do with your information:<ul><li>WE DO NOT Disclose this information to third parties (except for location data which can be shared ephemerally via 3rd party libraries)</li><li>WE DO NOT Use / Sell your contact information for marketing purposes</li></ul>",,,,<u>服務站服務</u><br>我們可能會使用您的信息來：<br><ul><li>以電子方式提供數字收據</li><li>以電子方式提供禮品卡代碼</li>< li>跟進客戶/供應商的錯誤交易</li><li>在內部排除錯誤交易</li><li>與供應商/合作夥伴核對交易金額</li>< li>提供必要的信息，以促進轉移兌換的硬幣減去費用（即銀行帳號）</li><li>使用我們的服務站改善我們的客戶體驗</li><li>對於涉嫌犯罪，我們可能會使用錄製的閉路電視來協助警方調查</li ></ul><br>我們不會對您的信息做什麼：<ul><li>我們不會將此信息透露給第三方</ li><li>我們不會跟踪您之前與Coin Dragon 的交易< /li><li>我們不會將您的聯繫信息用於營銷目的</li></ul><br><u>Android / iOS 應用程序</u><br>我們可能會使用有關您的信息來：< ul><li>個性化應用內功能</li><li>就應用內問題/更新聯繫用戶。</ li><li>欺詐預防/安全注意事項</li></ul><br>我們不會對您的信息做什麼：<ul><li>我們不會向第三方披露此信息（可通過第三方庫臨時共享的位置數據除外）</li><li>我們不會使用/ 出於營銷目的出售您的聯繫信息</li></ul>,<u>服務站服务</u><br>我们可能会使用您的信息来：<br><ul><li>以电子方式提供数字收据</li><li>以电子方式提供礼品卡代码</li>< li>跟进客户/供应商的错误交易</li><li>在内部排除错误交易</li><li>与供应商/合作伙伴核对交易金额</li>< li>提供必要的信息，以促进转移兑换的硬币减去费用（即银行帐号）</li><li>使用我们的服務站改善我们的客户体验</li><li>对于涉嫌犯罪，我们可能会使用录制的闭路电视来协助警方调查</li ></ul><br>我们不会对您的信息做什么：<ul><li>我们不会将此信息透露给第三方</ li><li>我们不会跟踪您之前与Coin Dragon 的交易< /li><li>我们不会将您的联系信息用于营销目的</li></ul><br><u>Android / iOS 应用程序</u><br>我们可能会使用有关您的信息来：< ul><li>个性化应用内功能</li><li>就应用内问题/更新联系用户。 </ li><li>欺诈预防/安全注意事项</li></ul><br>我们不会对您的信息做什么：<ul><li>我们不会向第三方披露此信息（可通过第三方库临时共享的位置数据除外）</li><li>我们不会使用/ 出于营销目的出售您的联系信息</li></ul>,<u>บริการตู้ฝากเหรียญ</u><br>เราอาจใช้ข้อมูลเกี่ยวกับคุณเพื่อ:<br><ul><li>ส่งใบเสร็จรับเงินดิจิทัลทางอิเล็กทรอนิกส์</li><li>ส่งรหัสบัตรของขวัญทางอิเล็กทรอนิกส์</li>< li>ติดตามลูกค้า/ผู้ขายสำหรับธุรกรรมที่ผิดพลาด</li><li>แก้ไขปัญหาธุรกรรมที่ผิดพลาดภายใน</li><li>กระทบยอดธุรกรรมกับผู้ขาย/คู่ค้า</li><li>ให้ข้อมูลที่จำเป็นเพื่ออำนวยความสะดวก การโอนเหรียญแลกเปลี่ยนลบค่าธรรมเนียม (เช่น หมายเลขบัญชีธนาคาร)</li><li>ปรับปรุงประสบการณ์ของลูกค้าโดยใช้ตู้ของเรา</li><li>สำหรับผู้ต้องสงสัยว่าก่ออาชญากรรม เราอาจใช้กล้องวงจรปิดที่บันทึกไว้เพื่อช่วยสืบสวนของตำรวจ</li ></ul><br>สิ่งที่เราไม่ทำกับข้อมูลของคุณ:<ul><li>เราไม่เปิดเผยข้อมูลนี้แก่บุคคลที่สาม</li><li>เราไม่ติดตามธุรกรรมก่อนหน้าของคุณกับ Coin Dragon< /li><li>เราไม่ใช้ข้อมูลติดต่อของคุณเพื่อวัตถุประสงค์ทางการตลาด</li></ul><br><u>แอป Android / iOS</u><br>เราอาจใช้ข้อมูลเกี่ยวกับคุณเพื่อ:< ul><li>ปรับแต่งฟังก์ชันในแอปให้เป็นส่วนตัว</li><li>ติดต่อผู้ใช้เกี่ยวกับปัญหาในแอป / การอัปเดต</li><li>การป้องกันการฉ้อโกง / ข้อควรพิจารณาด้านความปลอดภัย</li></ul><br> สิ่งที่เราไม่ทำกับข้อมูลของคุณ:<ul><li>เราไม่เปิดเผยข้อมูลนี้แก่บุคคลที่สาม (ยกเว้นข้อมูลตำแหน่งที่สามารถแชร์ชั่วคราวผ่านไลบรารีของบุคคลที่สาม)</li><li>เราไม่ใช้ / ขายข้อมูลติดต่อของคุณเพื่อวัตถุประสงค์ทางการตลาด</li></ul>,"<u>Layanan Kios</u><br>Kami dapat menggunakan informasi tentang Anda untuk:<br><ul><li>Mengirimkan tanda terima digital secara elektronik</li><li>Mengirimkan kode kartu hadiah secara elektronik</li>< li>Menindaklanjuti pelanggan/vendor atas kesalahan transaksi</li><li>Memecahkan masalah transaksi yang salah secara internal</li><li>Rekonsiliasi jumlah transaksi dengan vendor/mitra</li><li>Berikan informasi yang diperlukan untuk memfasilitasi transfer koin yang ditukarkan dikurangi biaya (misalnya Nomor Rekening Bank)</li><li>Meningkatkan pengalaman pelanggan menggunakan kios kami</li><li>Untuk dugaan kejahatan, kami dapat menggunakan rekaman CCTV untuk membantu penyelidikan polisi</li ></ul><br>Apa yang TIDAK kami lakukan terhadap informasi Anda:<ul><li>KAMI TIDAK Mengungkapkan informasi ini kepada pihak ketiga</li><li>KAMI TIDAK Melacak transaksi Anda sebelumnya dengan Coin Dragon< /li><li>KAMI TIDAK Menggunakan informasi kontak Anda untuk tujuan pemasaran</li></ul><br><u>Aplikasi Android / iOS</u><br>Kami mungkin menggunakan informasi tentang Anda untuk:< ul><li>Personalisasi fungsi dalam aplikasi</li><li>Hubungi pengguna mengenai masalah/pembaruan dalam aplikasi.</li><li>Pertimbangan pencegahan penipuan/keamanan</li></ul><br> Apa yang TIDAK kami lakukan terhadap informasi Anda:<ul><li>KAMI TIDAK Mengungkapkan informasi ini kepada pihak ketiga (kecuali untuk data lokasi yang dapat dibagikan secara sementara melalui perpustakaan pihak ketiga)</li><li>KAMI TIDAK Menggunakan / Jual informasi kontak Anda untuk tujuan pemasaran</li></ul>",
privacy_coin_dr_3,Security of Information,,,,信息安全,信息安全,ความปลอดภัยของข้อมูล,Keamanan Informasi,
privacy_coin_dr_3_des,"Coin Dragon invests heavily in ensuring we protect information about you in an effort to prevent loss, misuse, and unauthorised access, disclosure, alteration and destruction. Our records are managed internally using external data storage vendors, and these records are backed up and removed regularly.",,,,Coin Dragon 投入巨資確保我們保護您的信息，以防止丟失、濫用以及未經授權的訪問、披露、更改和破壞。 我們的記錄通過外部數據存儲供應商進行內部管理，並且這些記錄會定期備份和刪除。,Coin Dragon 投入巨资确保我们保护您的信息，以防止丢失、滥用以及未经授权的访问、披露、更改和破坏。我们的记录通过外部数据存储供应商进行内部管理，并且这些记录会定期备份和删除。,Coin Dragon ลงทุนอย่างมากในการสร้างความมั่นใจว่าเราปกป้องข้อมูลเกี่ยวกับคุณเพื่อป้องกันการสูญหาย การใช้ในทางที่ผิด และการเข้าถึง การเปิดเผย การเปลี่ยนแปลง และการทำลายโดยไม่ได้รับอนุญาต บันทึกของเราได้รับการจัดการภายในโดยใช้ผู้ให้บริการจัดเก็บข้อมูลภายนอก และบันทึกเหล่านี้จะได้รับการสำรองข้อมูลและลบเป็นประจำ,"Coin Dragon berinvestasi besar-besaran dalam memastikan kami melindungi informasi tentang Anda dalam upaya mencegah kehilangan, penyalahgunaan, dan akses, pengungkapan, perubahan, dan penghancuran yang tidak sah. Catatan kami dikelola secara internal menggunakan vendor penyimpanan data eksternal, dan catatan ini dicadangkan dan dihapus secara berkala.",
privacy_coin_dr_4,Underage Users,,,,未成年用戶,未成年用户,ผู้ใช้ที่ยังไม่บรรลุนิติภาวะ,Pengguna di Bawah Umur,
privacy_coin_dr_4_des,"Coin Dragon does not knowingly collect information on minors using our kiosks, nor is it our intention for underage users to use our services without adult supervision.",,,,Coin Dragon 不會故意收集使用我們的服務站的未成年人的信息，我們也無意讓未成年用戶在沒有成人監督的情況下使用我們的服務。,Coin Dragon 不会故意收集使用我们的服務站的未成年人的信息，我们也无意让未成年用户在没有成人监督的情况下使用我们的服务。,Coin Dragon ไม่ตั้งใจที่จะรวบรวมข้อมูลเกี่ยวกับผู้เยาว์โดยใช้ตู้ของเรา และเราไม่ได้ตั้งใจให้ผู้ใช้ที่ยังไม่บรรลุนิติภาวะใช้บริการของเราโดยไม่มีผู้ใหญ่ดูแล,"Coin Dragon tidak dengan sengaja mengumpulkan informasi tentang anak di bawah umur menggunakan kios kami, dan kami juga tidak bermaksud agar pengguna di bawah umur menggunakan layanan kami tanpa pengawasan orang dewasa.",
privacy_coin_dr_5,Changes to this Policy,,,,本政策的變更,本政策的变更,การเปลี่ยนแปลงนโยบายนี้,Perubahan pada Kebijakan ini,
privacy_coin_dr_5_des,"Coin Dragon may change this Policy from time to time. If we make any changes to this Policy, we will change the ""Last Updated"" date above, and in some cases, we may provide you with more prominent notice (such as adding a statement to our homepage or sending you an email notification). We encourage you to review the Policy to stay informed about our information practices and the ways you can help protect your privacy.",,,,Coin Dragon 可能會不時更改本政策。 如果我們對本政策做出任何變更，我們將更改上述“最後更新”日期，並且在某些情況下，我們可能會向您提供更顯眼的通知（例如在我們的主頁添加聲明或向您發送電子郵件通知）。 我們鼓勵您查看本政策，以隨時了解我們的信息實踐以及幫助保護您的隱私的方式。,Coin Dragon 可能会不时更改本政策。如果我们对本政策做出任何变更，我们将更改上述“最后更新”日期，并且在某些情况下，我们可能会向您提供更显眼的通知（例如在我们的主页添加声明或向您发送电子邮件通知）。我们鼓励您查看本政策，以随时了解我们的信息实践以及帮助保护您的隐私的方式。,"Coin Dragon อาจเปลี่ยนแปลงนโยบายนี้เป็นครั้งคราว หากเราทำการเปลี่ยนแปลงใดๆ กับนโยบายนี้ เราจะเปลี่ยนวันที่ ""ปรับปรุงล่าสุด"" ด้านบน และในบางกรณี เราอาจแจ้งให้คุณทราบอย่างชัดเจนมากขึ้น (เช่น เพิ่มข้อความในหน้าแรกของเราหรือส่งการแจ้งเตือนทางอีเมลถึงคุณ) เราขอแนะนำให้คุณอ่านนโยบายเพื่อรับทราบข้อมูลเกี่ยวกับแนวทางปฏิบัติด้านข้อมูลของเราและวิธีที่คุณสามารถช่วยปกป้องความเป็นส่วนตัวของคุณได้","Coin Dragon dapat mengubah Kebijakan ini dari waktu ke waktu. Jika kami melakukan perubahan apa pun pada Kebijakan ini, kami akan mengubah tanggal ""Terakhir Diperbarui"" di atas, dan dalam beberapa kasus, kami mungkin memberi Anda pemberitahuan yang lebih jelas (seperti menambahkan pernyataan ke beranda kami atau mengirimi Anda pemberitahuan email). Kami mendorong Anda untuk meninjau Kebijakan untuk tetap mendapat informasi tentang praktik informasi kami dan cara Anda dapat membantu melindungi privasi Anda.",
privacy_coin_dr_des,"We care about protecting and respecting your privacy. In order to serve you better and provide you with the best customer experience, we need to collect some personal data about you. This Privacy Policy will help you understand how we collect and use your personal data, who we share your personal data with, and how you can control the way your personal data is collected and used by us.\n\nDragon Technology Global Pte Ltd (""DTG"") owns the Coin Dragon brand, including the associated business, website, and other associated activities. If you have questions or concerns about Coin Dragon's privacy practices, please contact us at info@coindragon.co.",,,,"我們關心保護和尊重您的隱私。 為了更好地為您服務並為您提供最佳的客戶體驗，我們需要收集一些關於您的個人數據。 本隱私政策將幫助您了解我們如何收集和使用您的個人數據、我們與誰共享您的個人數據以及您如何控制我們收集和使用您的個人數據的方式。\n\nDragon Technology Global Pte Ltd（""""Coin Dragon""""）擁有 Coin Dragon 品牌，包括相關業務、網站和其他相關活動。如果您對 Coin Dragon 的隱私慣例有任何疑問或疑慮，請通過 info@coindragon.co 聯繫我們。","我们关心保护和尊重您的隐私。为了更好地为您服务并为您提供最佳的客户体验，我们需要收集一些关于您的个人数据。本隐私政策将帮助您了解我们如何收集和使用您的个人数据、我们与谁共享您的个人数据以及您如何控制我们收集和使用您的个人数据的方式。 \n\nDragon Technology Global Pte Ltd（""""DTG""""）拥有 Coin Dragon 品牌，包括相关业务、网站和其他相关活动。如果您对 Coin Dragon 的隐私惯例有任何疑问或疑虑，请通过 info@coindragon.co 联系我们。","เราใส่ใจในการปกป้องและเคารพความเป็นส่วนตัวของคุณ เพื่อให้บริการคุณได้ดียิ่งขึ้นและมอบประสบการณ์ลูกค้าที่ดีที่สุด เราจำเป็นต้องรวบรวมข้อมูลส่วนบุคคลบางอย่างเกี่ยวกับคุณ นโยบายความเป็นส่วนตัวนี้จะช่วยให้คุณเข้าใจวิธีที่เรารวบรวมและใช้ข้อมูลส่วนบุคคลของคุณ ผู้ที่เราแบ่งปันข้อมูลส่วนบุคคลของคุณด้วย และวิธีที่คุณสามารถควบคุมวิธีที่ข้อมูลส่วนบุคคลของคุณถูกรวบรวมและใช้โดยเรา\n\nCoin Dragon Limited (""Coin Dragon"") เป็นเจ้าของแบรนด์ Coin Dragon รวมถึงธุรกิจที่เกี่ยวข้อง เว็บไซต์ และกิจกรรมอื่นๆ ที่เกี่ยวข้อง หากคุณมีคำถามหรือข้อกังวลเกี่ยวกับแนวทางปฏิบัติด้านความเป็นส่วนตัวของ Coin Dragon โปรดติดต่อเราที่ info@coindragon.co","Kami peduli untuk melindungi dan menghormati privasi Anda. Untuk melayani Anda dengan lebih baik dan memberi Anda pengalaman pelanggan terbaik, kami perlu mengumpulkan beberapa data pribadi tentang Anda. Kebijakan Privasi ini akan membantu Anda memahami cara kami mengumpulkan dan menggunakan data pribadi Anda, dengan siapa kami membagikan data pribadi Anda, dan bagaimana Anda dapat mengontrol cara data pribadi Anda dikumpulkan dan digunakan oleh kami.\n\nDragon Technology Global Pte Ltd ( ""DTG"") memiliki merek Coin Dragon, termasuk bisnis terkait, situs web, dan aktivitas terkait lainnya. Jika Anda memiliki pertanyaan atau kekhawatiran tentang praktik privasi Coin Dragon, silakan hubungi kami di info@coindragon.co.",
privacy_dragon_rewards_1,Usage,,,,用法,用法,การใช้งาน,Penggunaan,
privacy_dragon_rewards_1_des,"If you access or use our website (www.dragonrewards.com) (which we will refer to as “Site” in this Privacy Policy) or mobile application (""App""), then this Privacy Policy is deemed to be agreed by you and will apply to you. If you do not agree with this Privacy Policy, please stop using our Site or App, and do not apply for a Membership.<br><br>Sometimes, we may send you a new notice to explain how we may use your personal data in specific situations, and will always give you the choice to opt-out of such uses.",,,,如果您訪問或使用我們的網站（www.dragonrewards.com）（在本隱私政策中我們將其稱為“網站”）或移動應用程序（“應用程序”），則視為您同意本隱私政策將適用於您。 如果您不同意本隱私政策，請停止使用我們的網站或應用程序，並且不要申請會員資格。<br><br>有時，我們可能會向您發送新通知，解釋我們如何使用您的個人數據在特定情況下，並且始終會讓您選擇退出此類用途。,如果您访问或使用我们的网站（www.dragonrewards.com）（在本隐私政策中我们将其称为“网站”）或移动应用程序（“应用程序”），则视为您同意本隐私政策将适用于您。如果您不同意本隐私政策，请停止使用我们的网站或应用程序，并且不要申请会员资格。 <br><br>有时，我们可能会向您发送新通知，解释我们如何使用您的个人数据在特定情况下，并且始终会让您选择退出此类用途。,"หากคุณเข้าถึงหรือใช้เว็บไซต์ของเรา (www.dragonrewards.com) (ซึ่งเราจะเรียกว่า “ไซต์” ในนโยบายความเป็นส่วนตัวนี้) หรือแอปพลิเคชันมือถือ (""แอป"") ให้ถือว่านโยบายความเป็นส่วนตัวนี้ได้รับการยินยอมจากคุณและ จะใช้กับคุณ หากคุณไม่เห็นด้วยกับนโยบายความเป็นส่วนตัวนี้ โปรดหยุดใช้เว็บไซต์หรือแอปของเรา และอย่าสมัครเป็นสมาชิก<br><br>ในบางครั้ง เราอาจส่งประกาศใหม่ถึงคุณเพื่ออธิบายว่าเราอาจใช้ข้อมูลส่วนบุคคลของคุณอย่างไร ในสถานการณ์เฉพาะ และจะให้ทางเลือกแก่คุณเสมอในการเลือกไม่ใช้การใช้งานดังกล่าว","Jika Anda mengakses atau menggunakan situs web kami (www.dragonrewards.com) (yang akan kami sebut sebagai “Situs” dalam Kebijakan Privasi ini) atau aplikasi seluler (“Aplikasi”), maka Kebijakan Privasi ini dianggap disetujui oleh Anda dan akan berlaku untuk Anda. Jika Anda tidak setuju dengan Kebijakan Privasi ini, harap berhenti menggunakan Situs atau Aplikasi kami, dan jangan mengajukan keanggotaan.<br><br>Terkadang, kami mungkin mengirimi Anda pemberitahuan baru untuk menjelaskan bagaimana kami dapat menggunakan data pribadi Anda dalam situasi tertentu, dan akan selalu memberi Anda pilihan untuk tidak ikut serta dalam penggunaan tersebut.",
privacy_dragon_rewards_10,How long do we keep your data for,,,,我們會將您的數據保留多長時間,我们会将您的数据保留多长时间,เราเก็บข้อมูลของคุณไว้นานแค่ไหน,Berapa lama kami menyimpan data Anda,
privacy_dragon_rewards_10_des,"We will keep your personal data only for so long as is necessary to fulfil the purposes outlined in this Privacy Policy, unless the law requires us to keep it for a longer period. Once we no longer need your personal data, we will either irreversibly anonymise or securely delete it on our servers.",,,,我們只會在實現本隱私政策中概述的目的所需的時間內保留您的個人數據，除非法律要求我們保留更長時間。 一旦我們不再需要您的個人數據，我們將不可逆轉地匿名化或在我們的服務器上安全地刪除它。,我们只会在实现本隐私政策中概述的目的所需的时间内保留您的个人数据，除非法律要求我们保留更长时间。一旦我们不再需要您的个人数据，我们将不可逆转地匿名化或在我们的服务器上安全地删除它。,เราจะเก็บรักษาข้อมูลส่วนบุคคลของคุณไว้ตราบเท่าที่จำเป็นเพื่อให้บรรลุวัตถุประสงค์ที่ระบุไว้ในนโยบายความเป็นส่วนตัวนี้ เว้นแต่กฎหมายจะกำหนดให้เราต้องเก็บรักษาไว้เป็นเวลานานกว่านั้น เมื่อเราไม่ต้องการข้อมูลส่วนบุคคลของคุณอีกต่อไป เราจะปกปิดตัวตนอย่างถาวรหรือลบออกอย่างปลอดภัยบนเซิร์ฟเวอร์ของเรา,"Kami akan menyimpan data pribadi Anda hanya selama diperlukan untuk memenuhi tujuan yang diuraikan dalam Kebijakan Privasi ini, kecuali hukum mengharuskan kami menyimpannya untuk jangka waktu yang lebih lama. Setelah kami tidak lagi membutuhkan data pribadi Anda, kami akan menganonimkannya secara permanen atau menghapusnya dengan aman di server kami.",
privacy_dragon_rewards_11,Your Rights,,,,您的權利,您的权利,สิทธิของคุณ,Hak Anda,
